Set	Total
{aminocoumarin ;carbapenem;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;monobactam;penicillin beta-lactam;peptide ;phenicol ;sulfonamide ;tetracycline, drug_and_biocide_resistance, multidrug}	1
{cephalosporin;fluoroquinolone ;macrolide ;penicillin beta-lactam;tetracycline, multidrug}	1
{multidrug, phenicol/quinolone}	1
{MLS, macrolide, macrolide ;streptogramin, ml, multidrug}	1
{glycylcycline;tetracycline, tetracycline}	2
{chloramphenicol, drug_and_biocide_resistance, multidrug}	1
{na, trimethoprim}	2
{MLS, fluoroquinolone, quinolone}	1
{glycopeptide, lipopeptide}	3
{na, rifamycin}	3
{multidrug, peptide, peptide ;polyamine}	1
{fosfomycin, fosmidomycin}	1
{polymyxin, rifampin, rifamycin}	1
{aminocoumarin, beta-lactam}	1
{disinfecting agents and antiseptic, qa_compound, quaternary ammonium}	3
{lincosamide, streptogramin a, pleuromutilin, multidrug}	1
{aminoglycoside, aminoglycoside ;macrolide, drug_and_biocide_resistance, multidrug}	1
{MLS, lincosamide, streptogramin a, pleuromutilin, multidrug}	1
{chloramphenicol, lincosamide ;oxazolidinone ;phenicol ;streptogramin, lincosamide/oxazolidinone/phenicol/pleuromutilin/streptogramin, multidrug}	1
{drug_and_biocide_resistance, multidrug, phenicol}	1
{disinfecting agents and antiseptics;phenicol ;tetracycline, drug_and_biocide_resistance, multidrug}	1
{antibacterial free fatty acid, drug_and_biocide_resistance, multidrug}	1
{na, peptide ;rifamycin, rifampin}	1
{bleomycin, multidrug}	1
{fusidic acid, fusidic_acid}	1
{beta-lactam, lipopeptide}	2
{aminoglycoside ;carbapenem;cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;macrolide ;penicillin beta-lactam;phenicol ;tetracycline, drug_and_biocide_resistance, efflux, multidrug}	1
{fusidane, fusidic_acid}	1
{glycopeptide, lipopeptide, peptide, polymyxin}	1
{drug_and_biocide_resistance, fluoroquinolone ;macrolide, multidrug}	1
{disinfecting agents and antiseptic, multidrug}	1
{mycobacterium_tuberculosis-specific_drug, peptide, tuberactinomycin}	1
{aminoglycoside ;fluoroquinolone ;phosphonic acid, fosfomycin}	1
{na, nucleoside, tunicamycin}	1
{aminoglycoside, tuberactinomycin}	1
{amphenicol, multidrug, phenicol}	1
{diaminopyrimidine ;fluoroquinolone ;phenicol, multidrug}	1
{bacitracin, macrolide}	2
{quinolone, rifampin, rifamycin}	1
{cationic_antimicrobial_peptide, colistin, polymyxin}	1
{bicyclomycin-like, drug_and_biocide_resistance}	1
{drug_and_biocide_resistance, multidrug, phenicol/quinolone/trimethoprim, sulfonamide}	1
{aminocoumarin, fosfomycin, quinolone}	1
{aminoglycoside ;carbapenem;cephalosporin;fluoroquinolone ;macrolide ;penicillin beta-lactam;peptide, drug_and_biocide_resistance, multidrug}	1
{drug_and_biocide_resistance, isoniazid-like ;rifamycin, multidrug}	1
{amphenicol, oxazolidinone, tetracycline, multidrug, oxazolidinone ;phenicol ;tetracycline, oxazolidinone/phenicol}	1
{beta-lactam, trimethoprim}	1
{colistin, drug_and_biocide_resistance}	1
{macrolide, macrolide ;phosphonic acid ;streptogramin, ml, multidrug}	1
{colistin, glycopeptide}	3
{colistin, drug_and_biocide_resistance, multidrug}	1
{multidrug, qa_compound}	2
{beta-lactam, tetracycline}	1
{fluoroquinolone, fosfomycin}	1
{fusidic acid, fusidic_acid, tetracycline}	1
{lipopeptide, peptide, polymyxin, polypeptide}	1
{aminocoumarin, fluoroquinolone, quinolone}	1
{MLS, macrolide, macrolide ;tetracycline, ml}	1
{aminoglycoside, beta-lactam, streptothricin}	1
{aminoglycoside ;diaminopyrimidine ;tetracycline, trimethoprim}	1
{fluoroquinolone, fosmidomycin}	1
{MLS, fluoroquinolone}	1
{elfamycin, polyketide, tetracycline}	1
{aminoglycoside, bleomycin, glycopeptide}	1
{disinfecting agents and antiseptics;macrolide, drug_and_biocide_resistance, efflux, multidrug}	1
{glycopeptide, macrolide}	1
{aminoglycoside, aminoglycoside/phenicol, phenicol}	1
{na, peptide, thiopeptide, thiostrepton}	1
{MLS, mycobacterium_tuberculosis-specific_drug}	1
{multidrug, penicillin beta-lactam;tetracycline, tetracycline}	1
{cephalosporin;disinfecting agents and antiseptics;fluoroquinolone ;glycopeptide ;glycylcycline;oxazolidinone ;penicillin beta-lactam;phenicol ;rifamycin ;tetracycline, multidrug}	1
{bacitracin, bleomycin}	1
{MLS, ml, streptogramin a ;streptogramin}	1
{fluoroquinolone, polymyxin}	1
{colistin, na, peptide, polymyxin}	1
{MLS, macrolide, lincosamide, ml}	1
{MLS, ml, streptogramin, streptogramin a ;streptogramin}	1
{amphenicol, oxazolidinone, tetracycline, multidrug, oxazolidinone/phenicol}	1
{ml, streptogramin a}	1
{na, polymyxin}	1
{bacitracin, multidrug}	1
{azabicycloalkane, multidrug}	1
{macrolide/streptothricin, multidrug, nucleoside}	1
{fosfomycin, tetracycline}	1
{multidrug, quaternary ammonium}	1
{aminocoumarin ;aminoglycoside ;cephalosporin;diaminopyrimidine ;fluoroquinolone ;macrolide ;penicillin beta-lactam;phenicol ;tetracycline, multidrug}	1
{aminoglycoside ;disinfecting agents and antiseptics;fluoroquinolone ;penicillin beta-lactam;tetracycline, drug_and_biocide_resistance, multidrug}	1
{fluoroquinolone, multidrug}	1
{na, tunicamycin}	1
{glycopeptide, lipopeptide, polymyxin}	1
{glycopeptide, tetracycline}	1
{ml, oxazolidinone, amphenicol, lincosamide, streptogramin a, pleuromutilin}	1
{disinfecting agents and antiseptics;macrolide ;tetracycline, efflux}	1
